ID,Class,Teacher,Subject,item1,item2,item3,item4,item5,Score
S001,A,T01,Literature,85,84,65,89,45,86
S002,A,T01,Literature,78,68,59,79,65,96
S003,A,T01,Literature,75,77,65,83,75,52
S004,A,T01,Literature,87,70,61,61,61,72
S005,A,T01,Literature,77,72,63,99,65,74
S006,A,T01,Literature,89,66,65,71,57,90
S007,A,T01,Literature,87,58,61,83,75,82
S008,A,T01,Literature,75,79,88,93,83,94
S009,A,T01,Literature,81,80,65,87,69,82
S010,A,T01,Literature,71,70,91,73,57,88
S011,A,T01,Literature,81,95,77,83,83,82
S012,A,T01,Literature,77,56,67,73,59,70
S013,A,T01,Literature,89,75,81,93,43,92
S014,A,T01,Literature,66,77,75,81,53,72
S015,A,T01,Literature,76,67,83,83,86,78
S016,A,T01,Literature,81,88,65,95,96,70
S017,A,T01,Literature,63,66,49,85,52,58
S018,A,T01,Literature,89,55,61,65,72,66
S019,A,T01,Literature,77,77,41,99,74,88
S020,A,T01,Literature,63,90,67,79,90,82
S021,A,T01,Literature,65,58,49,91,82,72
S022,A,T01,Literature,77,80,77,93,94,92
S023,A,T01,Literature,89,77,77,83,82,84
S024,A,T01,Literature,89,84,55,83,88,94
S025,A,T01,Literature,81,88,61,51,82,92
S026,A,T01,Literature,71,98,79,75,70,94
S027,A,T01,Literature,75,74,73,57,55,86
S028,A,T01,Literature,90,83,77,91,72,90
S029,A,T01,Literature,91,73,41,73,78,84
S030,B,T01,Literature,63,68,65,85,70,70
S031,B,T01,Literature,75,90,43,51,58,98
S032,B,T01,Literature,45,45,65,57,66,36
S033,B,T01,Literature,79,67,55,87,88,90
S034,B,T01,Literature,65,78,66,79,82,72
S035,B,T01,Literature,75,92,77,77,72,96
S036,B,T01,Literature,65,89,76,71,92,72
S037,B,T01,Literature,65,66,40,73,84,54
S038,B,T01,Literature,73,69,77,73,94,80
S039,B,T01,Literature,75,78,90,67,92,84
S040,B,T01,Literature,87,71,71,73,94,80
S041,B,T01,Literature,77,82,71,69,86,98
S042,B,T01,Literature,57,74,70,71,90,68
S043,B,T01,Literature,91,63,76,73,84,74
S044,B,T01,Literature,71,84,90,69,70,92
S045,B,T01,Literature,83,88,99,35,98,92
S046,B,T01,Literature,85,79,88,73,36,86
S047,B,T01,Literature,75,79,70,99,90,74
S048,B,T01,Literature,75,83,99,65,72,94
S049,B,T01,Literature,43,63,73,75,96,52
S050,B,T01,Literature,67,35,59,89,72,42
S051,B,T01,Literature,49,72,88,83,77,86
S052,B,T01,Literature,83,55,89,91,80,68
S053,B,T01,Literature,65,83,91,73,84,94
S054,B,T01,Literature,77,78,77,57,55,82
S055,B,T01,Literature,43,74,67,69,66,68
S056,B,T01,Literature,49,68,70,49,68,70
S057,B,T01,Literature,79,80,79,75,74,82
S058,C,T01,Literature,71,92,95,57,92,94
S059,C,T01,Literature,69,83,90,85,92,94
S060,C,T01,Literature,63,74,88,85,86,86
S061,C,T01,Literature,65,79,71,63,74,76
S062,C,T01,Literature,65,73,89,69,44,80
S063,C,T01,Literature,59,66,73,87,52,58
S064,C,T01,Literature,65,99,94,81,42,96
S065,C,T01,Literature,61,77,66,85,86,68
S066,C,T01,Literature,63,55,79,49,68,80
S067,C,T01,Literature,65,78,85,73,94,90
S068,C,T01,Literature,61,73,89,51,82,84
S069,C,T01,Literature,27,88,66,73,68,70
S070,C,T01,Literature,65,78,81,63,55,80
S071,C,T01,Literature,91,68,64,47,66,70
S072,C,T01,Literature,57,88,79,63,44,90
S073,C,T01,Literature,67,54,83,67,33,78
S074,C,T01,Literature,81,78,91,43,86,80
S075,C,T01,Literature,75,90,88,37,76,92
S076,C,T01,Literature,83,80,75,55,80,82
S077,C,T01,Literature,65,60,67,79,58,62
S078,C,T01,Literature,49,94,88,79,96,96
S079,C,T01,Literature,61,74,65,89,68,76
S080,C,T01,Literature,41,86,89,69,80,88
S081,C,T01,Literature,67,88,92,67,90,90
S082,C,T01,Literature,49,78,85,43,84,80
S083,C,T01,Literature,77,78,73,47,70,80
S084,C,T01,Literature,77,65,45,63,80,48
S085,D,T01,Literature,55,55,87,27,70,72
S086,D,T01,Literature,61,65,67,81,90,54
S087,D,T01,Literature,79,77,77,67,78,88
S088,D,T01,Literature,73,62,66,55,80,70
S089,D,T01,Literature,77,72,71,51,92,82
S090,D,T01,Literature,41,55,54,99,82,48
S091,D,T01,Literature,65,66,60,49,62,54
S092,D,T01,Literature,70,77,75,75,96,84
S093,D,T01,Literature,65,66,75,55,76,76
S094,D,T01,Literature,55,72,70,87,88,74
S095,D,T01,Literature,39,66,67,73,90,68
S096,D,T01,Literature,55,68,70,55,80,70
S097,D,T01,Literature,59,62,83,41,80,70
S098,D,T01,Literature,35,54,65,61,66,64
