ID,Class,Teacher,Subject,item1,item2,item3,item4,item5,Pass/Fail
S001,A,T01,History,85,84,65,89,45,Pass
S002,A,T01,History,78,68,59,79,65,Pass
S003,A,T01,History,75,77,65,83,75,Fail
S004,A,T01,History,87,70,61,61,61,Pass
S005,A,T01,History,77,72,63,99,65,Pass
S006,A,T01,History,89,66,65,71,57,Pass
S007,A,T01,History,87,58,61,83,75,Pass
S008,A,T01,History,75,79,88,93,83,Pass
S009,A,T01,History,81,80,65,87,69,Pass
S010,A,T01,History,71,70,91,73,57,Pass
S011,A,T01,History,81,95,77,83,83,Pass
S012,A,T01,History,77,56,67,73,59,Pass
S013,A,T01,History,89,75,81,93,43,Pass
S014,A,T01,History,66,77,75,81,53,Pass
S015,A,T01,History,76,67,83,83,86,Pass
S016,A,T01,History,81,88,65,95,96,Pass
S017,A,T01,History,63,66,49,85,52,Fail
S018,A,T01,History,89,55,61,65,72,Pass
S019,A,T01,History,77,77,41,99,74,Pass
S020,A,T01,History,63,90,67,79,90,Pass
S021,A,T01,History,65,58,49,91,82,Pass
S022,A,T01,History,77,80,77,93,94,Pass
S023,A,T01,History,89,77,77,83,82,Pass
S024,A,T01,History,89,84,55,83,88,Pass
S025,A,T01,History,81,88,61,51,82,Pass
S026,A,T01,History,71,98,79,75,70,Pass
S027,A,T01,History,75,74,73,57,55,Pass
S028,A,T01,History,90,83,77,91,72,Pass
S029,A,T01,History,91,73,41,73,78,Pass
S030,B,T01,History,63,68,65,85,70,Pass
S031,B,T01,History,75,90,43,51,58,Pass
S032,B,T01,History,45,45,65,57,66,Fail
S033,B,T01,History,79,67,55,87,88,Pass
S034,B,T01,History,65,78,66,79,82,Pass
S035,B,T01,History,75,92,77,77,72,Pass
S036,B,T01,History,65,89,76,71,92,Pass
S037,B,T01,History,65,66,40,73,84,Fail
S038,B,T01,History,73,69,77,73,94,Pass
S039,B,T01,History,75,78,90,67,92,Pass
S040,B,T01,History,87,71,71,73,94,Pass
S041,B,T01,History,77,82,71,69,86,Pass
S042,B,T01,History,57,74,70,71,90,Pass
S043,B,T01,History,91,63,76,73,84,Pass
S044,B,T01,History,71,84,90,69,70,Pass
S045,B,T01,History,83,88,99,35,98,Pass
S046,B,T01,History,85,79,88,73,36,Pass
S047,B,T01,History,75,79,70,99,90,Pass
S048,B,T01,History,75,83,99,65,72,Pass
S049,B,T01,History,43,63,73,75,96,Fail
S050,B,T01,History,67,35,59,89,72,Fail
S051,B,T01,History,49,72,88,83,77,Pass
S052,B,T01,History,83,55,89,91,80,Pass
S053,B,T01,History,65,83,91,73,84,Pass
S054,B,T01,History,77,78,77,57,55,Pass
S055,B,T01,History,43,74,67,69,66,Fail
S056,B,T01,History,49,68,70,49,68,Pass
S057,B,T01,History,79,80,79,75,74,Pass
S058,C,T01,History,71,92,95,57,92,Pass
S059,C,T01,History,69,83,90,85,92,Pass
S060,C,T01,History,63,74,88,85,86,Pass
S061,C,T01,History,65,79,71,63,74,Pass
S062,C,T01,History,65,73,89,69,44,Pass
S063,C,T01,History,59,66,73,87,52,Fail
S064,C,T01,History,65,99,94,81,42,Pass
S065,C,T01,History,61,77,66,85,86,Fail
S066,C,T01,History,63,55,79,49,68,Pass
S067,C,T01,History,65,78,85,73,94,Pass
S068,C,T01,History,61,73,89,51,82,Pass
S069,C,T01,History,27,88,66,73,68,Pass
S070,C,T01,History,65,78,81,63,55,Pass
S071,C,T01,History,91,68,64,47,66,Pass
S072,C,T01,History,57,88,79,63,44,Pass
S073,C,T01,History,67,54,83,67,33,Pass
S074,C,T01,History,81,78,91,43,86,Pass
S075,C,T01,History,75,90,88,37,76,Pass
S076,C,T01,History,83,80,75,55,80,Pass
S077,C,T01,History,65,60,67,79,58,Fail
S078,C,T01,History,49,94,88,79,96,Pass
S079,C,T01,History,61,74,65,89,68,Pass
S080,C,T01,History,41,86,89,69,80,Pass
S081,C,T01,History,67,88,92,67,90,Pass
S082,C,T01,History,49,78,85,43,84,Pass
S083,C,T01,History,77,78,73,47,70,Pass
S084,C,T01,History,77,65,45,63,80,Fail
S085,D,T01,History,55,55,87,27,70,Pass
S086,D,T01,History,61,65,67,81,90,Fail
S087,D,T01,History,79,77,77,67,78,Pass
S088,D,T01,History,73,62,66,55,80,Pass
S089,D,T01,History,77,72,71,51,92,Pass
S090,D,T01,History,41,55,54,99,82,Pass
S091,D,T01,History,65,66,60,49,62,Fail
S092,D,T01,History,70,77,75,75,96,Pass
S093,D,T01,History,65,66,75,55,76,Pass
S094,D,T01,History,55,72,70,87,88,Pass
S095,D,T01,History,39,66,67,73,90,Fail
S096,D,T01,History,55,68,70,55,80,Pass
S097,D,T01,History,59,62,83,41,80,Pass
S098,D,T01,History,35,54,65,61,66,Fail
S099,D,T01,History,29,77,77,75,72,Pass
S100,D,T01,History,47,64,63,81,54,Fail
S101,D,T01,History,71,66,56,47,55,Fail
S102,D,T01,History,71,62,79,39,70,Pass
S103,D,T01,History,81,75,71,87,82,Fail
S104,D,T01,History,61,45,45,93,77,Fail
S105,D,T01,History,59,68,78,97,66,Pass
S106,D,T01,History,35,94,88,63,84,Pass
S107,D,T01,History,39,66,65,89,76,Fail
S108,D,T01,History,55,78,67,53,74,Pass
S109,D,T01,History,77,84,77,87,77,Pass
S110,D,T01,History,73,56,78,91,88,Pass
S111,D,T01,History,59,66,89,69,88,Pass
S112,D,T01,History,47,56,78,49,88,Pass
S113,D,T01,History,43,72,61,73,88,Fail
S114,D,T01,History,91,64,45,57,66,Fail
S115,D,T01,History,41,44,65,81,88,Fail
S116,D,T01,History,67,70,88,75,44,Pass
S117,D,T01,History,47,66,57,45,89,Fail
S118,D,T01,History,79,72,83,77,78,Pass
S119,E,T02,History,65,77,81,45,99,Pass
S120,E,T02,History,47,67,75,65,76,Fail
S121,E,T02,History,33,45,64,75,62,Fail
S122,E,T02,History,66,67,78,61,72,Pass
S123,E,T02,History,67,76,77,65,86,Pass
S124,E,T02,History,73,80,87,57,80,Pass
S125,E,T02,History,39,44,41,75,88,Fail
S126,E,T02,History,66,68,67,83,70,Pass
S127,E,T02,History,79,46,49,69,54,Fail
S128,E,T02,History,85,68,77,57,88,Pass
S129,E,T02,History,89,58,77,83,88,Fail
S130,E,T02,History,55,67,55,59,88,Fail
S131,E,T02,History,81,58,64,43,77,Fail
S132,E,T02,History,45,77,55,53,82,Fail
S133,E,T02,History,79,54,61,86,82,Fail
S134,E,T02,History,83,32,43,96,60,Fail
S135,E,T02,History,91,50,44,52,66,Fail
S136,E,T02,History,63,54,68,72,84,Pass
S137,E,T02,History,75,74,66,74,80,Pass
S138,E,T02,History,85,84,68,90,82,Pass
S139,E,T02,History,79,64,58,82,55,Fail
S140,E,T02,History,65,78,42,94,70,Fail
S141,E,T02,History,75,38,58,82,48,Fail
S142,E,T02,History,65,42,62,88,70,Fail
S143,E,T02,History,85,54,55,82,78,Fail
S144,E,T02,History,73,22,32,70,44,Fail
S145,E,T02,History,75,76,66,55,60,Pass
S146,E,T02,History,87,78,74,72,64,Fail
S147,E,T02,History,77,50,64,78,40,Fail
S148,E,T02,History,57,46,55,70,88,Fail
S149,E,T02,History,91,66,88,58,52,Pass
S150,E,T02,History,71,44,53,66,76,Fail
S151,E,T02,History,83,70,66,88,76,Pass
S152,E,T02,History,85,66,42,82,86,Fail
S153,F,T02,History,75,82,88,72,66,Pass
S154,F,T02,History,75,68,66,92,64,Pass
S155,F,T02,History,43,66,55,84,77,Fail
S156,F,T02,History,67,36,44,94,88,Fail
S157,F,T02,History,49,56,50,92,60,Fail
S158,F,T02,History,83,66,76,94,77,Pass
S159,F,T02,History,65,76,94,86,78,Pass
S160,F,T02,History,77,42,44,90,77,Fail
S161,F,T02,History,43,66,45,84,52,Fail
S162,F,T02,History,49,82,88,70,78,Pass
S163,F,T02,History,79,88,82,98,96,Pass
S164,F,T02,History,71,77,99,36,88,Pass
S165,F,T02,History,69,58,50,90,72,Fail
S166,F,T02,History,63,84,89,72,67,Pass
S167,F,T02,History,65,77,55,96,84,Fail
S168,F,T02,History,65,82,77,72,70,Pass
S169,F,T02,History,59,86,75,77,52,Pass
S170,F,T02,History,65,77,77,80,38,Fail
S171,F,T02,History,61,44,54,84,87,Fail
S172,F,T02,History,63,68,85,55,72,Pass
S173,F,T02,History,65,77,56,66,78,Fail
S174,F,T02,History,61,76,85,68,44,Pass
S175,F,T02,History,27,70,76,74,36,Pass
S176,F,T02,History,65,77,47,92,84,Fail
S177,F,T02,History,91,72,67,92,90,Pass
S178,F,T02,History,57,40,56,86,94,Fail
S179,F,T02,History,67,77,41,74,60,Fail
S180,F,T02,History,81,70,67,44,86,Pass
S181,F,T02,History,75,56,47,52,66,Fail
S182,F,T02,History,83,55,71,42,84,Fail
S183,F,T02,History,65,52,65,86,88,Fail
S184,F,T02,History,49,70,78,68,66,Pass
S185,F,T02,History,61,55,80,94,46,Pass
S186,F,T02,History,41,64,53,82,70,Fail
S187,F,T02,History,67,52,67,68,54,Fail
S188,F,T02,History,49,55,73,55,78,Pass
S189,G,T02,History,77,54,56,66,72,Fail
S190,G,T02,History,77,38,40,44,42,Fail
S191,G,T02,History,55,55,65,33,74,Fail
S192,G,T02,History,64,80,85,86,42,Pass
S193,G,T02,History,82,74,89,76,62,Pass
S194,G,T02,History,76,55,55,80,72,Fail
S195,G,T02,History,80,92,81,58,58,Pass
S196,G,T02,History,44,52,45,96,62,Fail
S197,G,T02,History,68,55,79,68,54,Pass
S198,G,T02,History,46,60,83,80,72,Fail
S199,G,T02,History,68,56,66,90,80,Fail
S200,G,T02,History,58,55,63,84,66,Fail
S201,G,T02,History,42,46,61,70,54,Fail
S202,G,T02,History,58,72,85,80,80,Pass
S203,G,T02,History,62,55,68,70,56,Fail
S204,G,T02,History,38,58,65,90,40,Fail
S205,G,T02,History,32,78,75,78,50,Pass
S206,G,T02,History,50,55,65,80,82,Pass
S207,G,T02,History,74,92,85,92,76,Pass
S208,G,T02,History,74,80,73,82,78,Pass
S209,G,T02,History,84,55,75,62,55,Pass
S210,G,T02,History,64,78,87,96,54,Pass
S211,G,T02,History,62,42,45,76,65,Fail
S212,G,T02,History,38,55,57,88,62,Fail
S213,G,T02,History,88,92,91,90,58,Pass
S214,G,T02,History,58,68,71,80,68,Pass
S215,G,T02,History,88,77,83,80,48,Pass
S216,G,T02,History,76,60,67,66,74,Fail
S217,G,T02,History,62,78,75,72,64,Pass
S218,G,T02,History,50,77,87,54,60,Pass
S219,G,T02,History,46,60,56,55,80,Fail
S220,G,T02,History,94,92,78,70,72,Pass
S221,G,T02,History,44,77,90,82,67,Pass
S222,G,T02,History,70,78,83,77,82,Pass
S223,G,T02,History,50,84,77,66,82,Pass
S224,G,T02,History,82,77,77,84,80,Pass
S225,G,T02,History,68,84,87,76,44,Pass
S226,G,T02,History,50,80,80,74,46,Pass
S001,A,T03,Math,89,77,71,77,66,Fail
S002,A,T03,Math,99,51,58,88,70,Fail
S003,A,T03,Math,55,55,60,88,90,Fail
S004,A,T03,Math,75,77,44,88,62,Fail
S005,A,T03,Math,77,65,65,88,80,Fail
S006,A,T03,Math,93,73,65,66,92,Pass
S007,A,T03,Math,85,77,59,88,88,Fail
S008,A,T03,Math,97,47,50,44,55,Fail
S009,A,T03,Math,85,73,76,89,92,Pass
S010,A,T03,Math,91,77,63,78,80,Fail
S011,A,T03,Math,85,33,43,99,86,Fail
S012,A,T03,Math,73,43,44,76,76,Fail
S013,A,T03,Math,95,77,66,62,55,Pass
S014,A,T03,Math,75,69,65,72,44,Pass
S015,A,T03,Math,55,47,55,86,67,Fail
S016,A,T03,Math,73,77,77,80,53,Pass
S017,A,T03,Math,61,47,43,88,57,Fail
S018,A,T03,Math,69,71,81,70,49,Pass
S019,A,T03,Math,56,66,55,54,67,Fail
S020,A,T03,Math,85,51,60,88,75,Fail
S021,A,T03,Math,75,61,65,88,61,Fail
S022,A,T03,Math,55,66,49,88,88,Fail
S023,A,T03,Math,55,67,61,77,75,Fail
S024,A,T03,Math,55,57,55,82,78,Fail
S025,A,T03,Math,56,66,45,82,35,Fail
S026,A,T03,Math,97,73,70,60,78,Pass
S027,A,T03,Math,89,65,77,66,88,Fail
S028,A,T03,Math,93,66,80,84,71,Pass
S029,A,T03,Math,87,75,66,80,49,Pass
S030,B,T03,Math,73,75,70,82,89,Pass
S031,B,T03,Math,100,66,82,55,49,Pass
S032,B,T03,Math,39,37,45,70,73,Fail
S033,B,T03,Math,93,39,50,48,57,Fail
S034,B,T03,Math,75,66,68,70,53,Pass
S035,B,T03,Math,55,63,68,78,63,Pass
S036,B,T03,Math,75,83,87,44,43,Pass
S037,B,T03,Math,57,66,55,60,69,Fail
S038,B,T03,Math,83,73,76,64,67,Pass
S039,B,T03,Math,87,85,89,40,55,Pass
S040,B,T03,Math,83,66,58,88,75,Fail
S041,B,T03,Math,100,87,89,52,67,Pass
S042,B,T03,Math,71,85,88,76,89,Pass
S043,B,T03,Math,77,66,77,76,77,Pass
S044,B,T03,Math,95,79,80,86,77,Pass
S045,B,T03,Math,95,69,74,66,55,Pass
S046,B,T03,Math,89,66,74,64,77,Pass
S047,B,T03,Math,77,75,84,77,41,Pass
S048,B,T03,Math,97,87,87,88,66,Pass
S049,B,T03,Math,55,66,55,60,65,Fail
S050,B,T03,Math,45,35,38,77,34,Fail
S051,B,T03,Math,89,79,78,78,78,Pass
S052,B,T03,Math,71,55,66,77,60,Fail
S053,B,T03,Math,97,87,88,52,86,Pass
S054,B,T03,Math,85,75,76,78,74,Pass
S055,B,T03,Math,71,55,62,96,60,Fail
S056,B,T03,Math,73,63,50,88,62,Fail
S057,B,T03,Math,85,75,80,72,74,Pass
S058,C,T03,Math,97,55,94,67,86,Pass
S059,C,T03,Math,97,87,78,84,86,Pass
S060,C,T03,Math,89,79,87,70,78,Pass
S061,C,T03,Math,79,55,76,52,68,Pass
S062,C,T03,Math,83,73,82,38,72,Pass
S063,C,T03,Math,61,51,68,87,50,Fail
S064,C,T03,Math,99,55,88,72,88,Pass
S065,C,T03,Math,71,61,66,78,60,Fail
S066,C,T03,Math,83,73,77,44,72,Pass
S067,C,T03,Math,93,55,88,36,82,Pass
S068,C,T03,Math,87,77,75,84,76,Pass
S069,C,T03,Math,73,63,71,90,62,Fail
S070,C,T03,Math,83,55,93,94,72,Pass
S071,C,T03,Math,73,63,66,60,62,Fail
S072,C,T03,Math,93,83,97,86,82,Pass
S073,C,T03,Math,81,55,85,66,70,Pass
